new_target,clean_translation
nẹghẹn,sweet
nẹghẹn-nẹghẹn,sweetness
nẹmi,choose me
nẹnẹ,grandmother
nẹni,move on
ni ẹwu rẹ,put on clothes
wo nio!,you are strong
ra niigbẹ oliliro,report him to his master
nibara oritşẹ,for the sake of god
wa ka ni ẹju gbọ,please be bold
niẹyinẹrẹn,in addition to
nikọ,what is it
nina,pledge
nijẹ,chorused
nini,energy
ninijẹ,cheat
ninọrọn,inside
nonuwe,today
nọ alẹ di o fen,clean the floor
ekeregbe mi ti o nọ  mo ri rẹ,i have found my lost goat
jọlọ gba ibu nọ o,fill it with sand
emi nọ-kan şe rẹn,i did it alone
nubara,concerning
nudun,the chap is very stubborn
mo numua rẹn,i prepared already
ẹnẹ wa bara nuwẹrẹ,we shall meet there
oba,fallon
obe,pond
obete,confuse
obi,kolanut
obibi,snake
obibi,spitting cobra
obibiyẹyẹ,common
obite,river
obirẹn,female
obirẹn,wife
obirẹn-ẹghoro,women or wives of the same family
obu-utọn,river source
obirẹn-okpo,widow
obiti,incompatible
obobo,plantain ripe
obuẹ,rainy season
obugun,mate esp polygamous home
obugun-arekpeni,co-wives of a brother and a cousin
oda-iradede,goodbye
oda-iradede,we shall meet sometime
ode,outside
ode-egin,stump
itsekiriolu re şe ode-aja,ode-itsekiri is our headquarter
ode-ẹguari,judge
ode-ẹguari,president of the court
ode-ẹguari,arbitrator
odelemọ,murderer
odeli,gecko
odibo,errand boy
odibo,messenger
odibo-orişe,servant of god
odibo-ọyọyọ,five in ọyọyọ game
odidi,astonishment
odidi,a back
odidimẹdi,blindfold
odin,deaf and dumb
odindin,cork
odigbogho,after thought
odo,sea
ododo-origho,crown of the head
ododo,scarlet
odoghoro,palm front spear
odubi,last child in the family
odugba,final farewell esp to the dead
odugbẹyin,after
ofe,beetle
ofi,yaws
ofiẹsẹn,athlete foot
ofiotọ,giant rat
ofiege,tug of war
ofo,psettus sebae 
ofofo,type of pepper soup with okro added
ofu,air sack in fish
ogie,tile given to a king
ogie,origin from benin kingdom
ogiefuẹfuẹ,backbiter
ogodẹn,ungrateful
ogodẹnwoloko,superlative for ogodẹn
ogolo-oyibo,english pepper caosciums spp
ogugu,concoction
ogun,twenty
race ,race
wa da sa ogure,let us run a race
oguru,bush cow
ogunmẹ,drums generally
oje,lead
oji,storm accompanied with rain
oji-ghì,confusion
ojiji,shadow
ojiguẹ,ferry man
ojo,bleeding especially post-natal bleed
ojogun,warrior
ojogun,soldier
ojokun,eel
ojokun,inedible snake like fish of mugil spp
ojorumẹde,murderer
oju,younger form of masquerade dressed in fresh palm or plantain leaves
ojubu,a fool
solid,solid ground
solid,high ground
oke mo gun le,i am on high ground
arrogance ,arrogance
okele ọluwo kpin mi,i detest the arrogance of the rich
okelemọrọn,far beyond
high,high ground
high,hill
okiti mo gun le gba gho orun ti o owa,i stood on the hill to see what was coming
okiriji,millipede
okirlisi,cloth pad placed on head for carrying loads
okiriwọnwọn,grievous
oko,bush
okokoniko,catfish
okokoniko,auchenoglanis spp
okolobẹ,unknown destination
okolobẹ,far distance
okorikoko,land crab
okorobojo ee do ọkọ meji,okorobojo does not keep two husbands
okun,west
okun,seaside
oku ku a lẹ ee gbọ?,there is death and the earth is not aware
okundugbo,mirage
okun-ẹge,rope for drawing water from the well
okun-ẹghọ,hook line
okun-oko,vine
okuuru,squirrel
okungbẹ,a female belt
okungbalo,silverfish
okutukutu,owl
ole,thief
olelole,habitual thief
olele,disciples
olele,apostles
olele,followers
olili,master
olili,superior officer
olikpekpe,mass
ologbo,cats
ologbo,iposi
oloke,bridegroom
olokeji,rival
ololo,bottle
olori,king wife
olori,queen
olori-ogun,war captain
olori-ujo,lead dancer
olotu,regent
oloşo,witch or wizard
oloşọghọ,prostitute
olosowo,trader
olu,king
olu-ẹyoko,peacock
olukun,acquaintance
olukun,friend
olumoye,royalty
olugba ma kọ uwọ?,how often do i need to teach you
olu-urun,beyond imagination
olu-urun,surprise
omere,relative
omere,kith
omere,kin
omere-ifun,full sibling
omere-ọwaọnẹ,paternal relatives
omere-iyeọnẹ,maternal relatives
omi,water
omi-ajuren,acid
omiakun,tears
omi-ara,salt water
nọọ omieju kuri eju rẹ,wipe your tears
omimi,surge
ominigbo,an oracle
mo la omioje rẹn dede,i licked the whole soup
omilo,chrysobalanus spp pepper soup spice
omirẹn ma ba omirẹn jẹ,do not spoil one another
oniye,person
oniyekoniye,whosoever
oniyeoko,guerilla
onobiren,female
onobiren,woman
onokeji,companion
onomirẹn,other person
onomu,neighbour
onuwe,today
oo-we,a response when one appellation is called
opẹlẹ,escape
opẹlẹ,narrow
opilopilo,oesophagus
oputuru,abundance
oputuru,plentiful
ore,mother
ore-ọkọ,mother in law
orere ọna we sẹngua,the road way is beautiful
ori,a native balm
ori,lotion
oribiti,snake
ori-egin,balm
ori-egin,embrocation
orifi,atmosphere
orighi,tingle
origho,head
orire,donation
orire-ọfẹ,grace
oriri,edible fruit found in the forest
orişẹnẹburuwẹ,god almighty
orişẹ-ẹmififẹn,god the holy spirit
orişẹ-ọma,god the son
orişẹ-ọsa,god the father
orişẹ-ọlagbẹdẹ,god the creator or designer
orişẹ-udẹji,god the iam or jehovah
oro,gold
akun- orogho,crocodile tears
orogo,dog syn aşu ma nọ idi
oroko,nautical kilometer
oroli,roof truss
orubu,sea shore
orubu,beach
orudu,groin area in female
bitterleaf ,bitterleaf
mimi,dried
orun,night
orunrun-wọgua,with humility
oruru,pressure
orusun,yam all species
ose,titfor tat
oseebọghọ,narrow escape
sneeze ,sneeze
asin osin gba şekpe gbẹ ara ọnẹ,one can not sneeze and curse one self
osin-ẹri,gymnarchus niloticus trunk fish
osinsin,catarrh
osue,ichneumon insect
osun,a ring made of palm fronds
osun,cane or metal used ina game see book on games and sports in itsekiri
ote,a knife for tapping palm wine
otete,cricket
otete,insect
otikpekpe,stir
otiti,fame
oto,the seed that rests on others in eso ghighan game
otọ,land
otokun,poverty
otu,stakes esp for fishing
wrist ,wrist
ma da oturubọ obirẹn aya-ọlọkọ ni,don ever hold a married woman by the wrist
owe,idiom
owe,proverb
owo,sun
owu,cotton thread
owu-akpakpa,spider web
s,she or he
owun eşe,she or he did it
owun-aja,local dialect
owun-akpẹ,apologise
owunmumu,potash
owun-guiguo,grumbling
oye,throne
oye,exalted position
oyerun,abundance
oyerun,abound
oye-ọrọn,kingdom
oyeye,leprosy disease
oyẹmi,braggart
oyibo,white men
oyidẹde,overturn
oyin,bee
oyin,honey
oyinbu,sugar
oyinmi,stimulant
oşẹri,witness
oşẹri,proof
oşi,wretch
oşimere,african white lily
oşo,witchcraft
oşuşu,coiffure hairstyle
oşu meeji ee le ni ọrọn,no two moons appear in the sky
oşuşumama,insect
oghe,baboon
ogheghe,sponda mombin tree e g akikan alẹ tio ro
ogho,news
ogho,tale
oghogbin ni ibangi,plenty of money in the bank
oghorigho,cowrie
okpeghe,a bird
okpinju,instead
okpinju,in the alternative
okpo,poles
okpo-ọkuna,mast of a ship
okpo-li,roof mast
okposo,community goddess
okpokpọ,eagle
okpotu,god of irigbo people
okpoghoro,trouble maker
okpoghorokpo,lion
okpukpu,spring
okpukpu,oasis of water from the ground
ogbe,idiom
ogbe,adage
ogbe,proverb
ogbin,barrenness
ogbin,infertile
ogbin,mostly in animals
ogbo,old age
ogbori,neophyte
ogbori,novice
ogboro,straight
ogboro-ẹyin,the grooved central part of human back
ogboro-ọna,straight way
ogboro-ọna,road
ogboro-gẹn,mature palm tree
ọba,king
ọbadayi,long time ago
ọbajọ,no wonder
ọbara,insignificant person
ọbara,nonentity
ọbẹ,knife
ọbẹ-ẹyẹn,banga soup
ọbira,niger perch fish
ọbiroro,intelligence
ọbile,lead singer
ọbikako,jackknife
ọbiọkpẹ,palm wine tap per
ọbiurun,applicant
ọbiurun,beggar
ọbọ,turtle
ọbọn,market
ọbọde,procrastinate
ọda,paint
ọdede,usher
ọdẹ,hunter
ọdẹ,hunt
ọdẹkọ,advisor
ọdẹrẹ-alẹ,security guard
ọdọn ọkan,one year
ọdudu mi winọ lukpikpi,my heart is beating fast
ọdundẹ,parrot
ọfa,number
ọfarajẹ,resemblance
ọfẹ,gift
ọfiotọ,giant rat
ọfọ rẹ ye ju,you talk too much
ma gbẹgbẹ ọfọ tiẹnẹ biriorişe bu,do not forget god covenant
ọfọguna,amber of fire
ọfọ-ẹrẹnghẹn,abomination
ọfọ-ẹrẹnghẹn,blasphemy
ọfun,oesophagus
ọfunma,innocence 
a mu ọga bo wun eju,there is veil in his her eyes
ọgba,round cane in conical fishing basket
ọguẹji,canines
ọguẹji,set of front teeth
ọgiọrọ,iron chain
ẹsẹte ọgọ,oblong plate
ọgọ ọgọ re do otu,fishing poles are in lines
ọgọin,prominent
ọgọna,road
ọgọna,street
ọguaju,face
ọguaju,facial
ọguarikọ,kingfisher
ọjegbe,a time of need
ọje,food
ọje-alẹ,supper
ọjẹrẹn,that time
ọjẹrẹn,the other day
ọjijala,weekdays
ọjọ dele tiole,every day for the thief
ọjuşẹ ee ku ni ebi,a messenger can not go hungry
ọkan,one
ọkan-dẹn-ogun,nineteen
ọkẹ,white mangrove avicennia african a
ọkẹlẹ,sweet type of cassava
ọkẹlẹkẹlẹ,cormorant
ọkẹlẹkẹlẹ,an amphibious bird
ọkẹnrẹn,miser
ọkẹrẹn,fourth
ọkẹrin,singer
ọkọ,boat
ọkọ,canoe
ọkọ-abitọn,bridegroom
ọkobili,eaves
ọkọkan,one by one
ọkọmudu,the surplus seed inọyọyọ game
ọkọlọda,regatta boat
bulbul,bulbul bird
wo fọ şişi ọkọlọkọ,you talk like a bulbul
ọkọ-sisin,ex-husband
ọkọyibo,township
ọkọyibo,city
ọkuẹrin,chorister
ọkuọnẹ,teacher
ọkuọnkuọ,achenoglamis catfish
ọkuna,ship
ọkuma,nothing
ọkuma,none
ọkuma-ọkuma,none
ọkurọ,seed
ọkurọ,pellet
ọkurọ-ọkan,single
ọla,yesterday
ọlaga,chairman
ọlaga-kporo,president
ọlagbẹdẹ,artisan
ọlaghọ-eregbe,fair in complexion
ọlaguẹ,the creek that joins benin river with the escravos
ọlaja,king
ọlaja-oyibo,government
ọlajiwẹn,debtor
ọlara-ghan,themselves
ọlarami,myself
ọlararo,him
ọlararo,her
ọlararo,itself
ọlararẹ,yourself
ọlarẹnẹ,ourselves
ọlaşẹ,commissioner
ọlayẹ,benefactor
ọlẹ,laziness
ọlẹbi,guilt
ọlẹkọ,teacher
ọlẹşẹ,sinner
ọlẹgua,attractiveness
ọleghoro,an independent man head of a quarter
ọlẹgban,anonymous
ọlẹ-kpikpomẹ,trouble maker
ọlẹghan,prisoner
ọlẹwuji,gorilla
ọlẹrefan,uncircumcised person
ọlẹre,sinner
ọli-aghara,flamboyance
ọli-gheremẹ,maniac
ọli-gheremẹ,nuisance
ọligun,sea catfish bagrus bay ad
ọligun-oko,snake type
ọligbagbọ,christians
ọligbagbọ,believers
ọligbere,prostitute
ọlibikadu,a wicked person
ọlibulara,arrogant
ọlikiribo,clam
ọlikiribo,thaisis call if era
ọlikọnrọn,fruit bat
ọlikuku,dove or pigeon ọlikuku-aja
ọlikpara,periwinkle
ọlirẹ,sensible
ọlisọkọ,pilot of a canoe
ọlitekun,a liar
ọlinọjịjo,bigot
ọlinini,powerful person
ọlinini,authority
ọliyọyọ,ram
ọligbutu-gbu,sourchop
ọlode,lizard
ọlọfọ,talkertive
ọlogure,tiger
ọlogure,shark rhizoprionodon spp
ọloşowo,trader
ọloşowo,merchant
ọlọgban,wiseman
ọlọgbara,righteous man
ọlọkpa,a police man
ọlọkpa-omi,marine police
ọlọkunrọn,a sick person
ọlọrọn,moon
ọlọsa,full tide that overflows its bank
ọlọte,detectives
ọlọgua,leader
ọluda,sawfish oki pristis spp
ọlu-оgunmẹ,drummer
ọlutoro,god of the sea
ọlugba,period
ọlugba-keji,second time around
ọlugba-kẹẹta,third time around
ọlugbe,savour
ọlubomeji,mad
ọlubomeji,mentally unwell
ọlugbọfun,greedy
ọlugha,landlord
ọlugha,lady
ọlukpeọrọnfọ,believer
ọluranran,famous person
ọluşẹ,employer
ọluwa mi,my master
ọluli,landlord
ọma,child
ọma-utẹbi,child in the cradle
ọmatie-firinfirin,very little child
ọma-ekuẹwọ,child in the arms
ọma-ekuẹwọ,little child
ọmatie,a child
ọmatie-ajijẹn,child with soft cranium
ọmade,child
ọmaja,children who belong to a community paternally or maternally
ọmajaja,free citizens comprising the patricians and plebeians
ọmaju,eye ball
ọmakọbi,first born
ọmaọkpanran,senior son
ọmatitọn,newborn baby
ọmarun,potter
ọmẹbi,children of the same lineage either paternally or maternally
ọmẹbi-meji,children whose birth are of two different tribes
ọmedon,house maid
ọmẹkọ,apprentice
ọmẹmẹriko,detective
ọmẹmẹriko,spy
ọmẹmọ,drunkard
ọmẹn,boundary
ọmẹrẹn,servant
ọmẹsi,lawyer
ọmẹtie,children
ọmiwe,professor
ọmojo,young snakes
ọmodẹ,cat
ọmodudẹ,parrot see alabara
ọmọşọn,adolescent
ọma-ugwe,swimmer
ọmuada,sword bearer
ọmuajọ,steward at the right hand during ancestral worship
ọmu-ẹkpe,bag bearer for hunters
ọmuro,professor
ọmuro,genius
ọna,road
ọnaragha,idler
ọnaragha,extravagant
ọnariri,far distance
ọnariri,a far
ọnarẹ,elder
ọnarẹ-aja-dede,most senior village or town head
ọnarẹ-aja,senior person in village or town
ọnarẹ-uli,head in immediate family
ọnarẹ-ẹbi,head in extended family
ọnẹ,crocodile see agbakara
ọnẹda,creator
ọnẹ-eguere-mi,having blood associate relations
ọnẹkporo,a rich man
ọnẹ-ọghọ,guest of honour
ọnẹ-ọghọ,distinguished
ọnode,outsider
ọnoye,erudition
ọnọkẹnrẹn,male
ọnugbe,savour
ọnumalẹ,juju priest
ọpuẹpuẹ,sting ray dasytatis spp
ọra,shoal
ọnẹ tio ma kpa ọtọn mi gbe ọran,he who beats my child incurs wrath
a ma ọran ma ma ukpe,he knows all but fails to know a particular one
ọrẹn,eighty
ọrọ,abyss
ọrọn,heaven
ọrọn,world beyond
ọrọn,death
diwo wa bi ọrọbibọ,you will have your baby safely
ọrọnfọ,truth
ọrọnrọn-ubi,noble family
ọrọn-gbigbọ,someone that heed to good advice
ọru,hundred
ọrukọ rẹsẹ?,what is your name
ọsa,father
ọsa-bibi,ebb of a tide
ọsa-kpankpan,swift flowing of tide
ọsa-ọkọ,father in law
ọsan wọ li,i am prosperous
ọsaan,idols
ọsaan,gods
ọsaan,deities
ọsẹn,rearing
ọsẹn,worship
ọsen-agutan,shepherd
ọsẹn-ẹran,shepherd
ọsẹn-orişẹ,christian
ọsẹn-umalẹ,unbelievers
ọsẹn-umalẹ,those worshipping idols
ọsọ,flesh
ọsọ,ọsọ ẹran
ọsọ,fresh meat from animals
ọsọn,daytime
ọsọn,day light
ọsọn-dadan,broad day
ọsọn-malẹ,towards evening
ọsu-ẹmọ,wine waiter
ọsuna,amber of fire
ọta,seller
ọtara,self aggrandizement
ọtẹ,spy
ọtẹtẹ,vegetable of amaranthus spp
ọtinọtinọ,whip
afika da ọtọn,the eagle flew to the right
ọtọn,ọtọn prefix as in son or child of
ọtọn olu,son of the olu
ọtọn-wun-ọsọn,step son or daughter
ọtọn-ẹru,slave descendant
ọtọn-ẹsi,colt
mo wa reni ọtọnla,i will go a day after tomorrow
ọtọn-mi,my son
ọtọn-uşa,small pot
ọtọn-ọgunmẹ,small drum
ọtọn-olu,royal descendant
ọtọn-ọlaja,prince or princess
ọtọn-egbele,chicken
ọwa,father
ọwa-ọsọn,step father
ọwẹ,the name used for younger sister in laws
ọwẹ,husband younger sister
ọwẹlẹ,argument
ọwẹlẹ,quarrel
ọwere,butter fish
ọwọn,measles
ọwurọwurọ,early morning
ọwurọ-kutukutu,crack of dawn
ọya,castrate
ọyẹ kpami,i am cold
ọyẹghẹ,cloth tied
ọyẹghẹ,exposing the groin area
ọyẹnyẹn,job comforter
ọyọ,happiness
ọyọ,joy
ọyọyọ,cutlass
ọyọyọ,knife without handle
ọyọọ,type of game
ọyurodẹ,convert
ọşẹ,soap
ọşẹn,male tortoise
ọşẹrẹ,bachelor
ọşẹrẹ-ekeregbe,male kid or male nanny kid for female
ọşigbere,prostitute
ọşika,evil doer
ọşingo,sisal hemp
ọşowo,trader
ọşogua,firstly
ọşogua,beginning
ọghaẹmo,cup bearer
ọghan,wave
ọghanran,enemy
ọghẹnrẹn,precious
ọghẹnghẹn,ice
ọghọ,honour
ọghọ,respect
ọghọn,yonder
multitude ,multitude
ọghọrighọ ajana,crowd flock
ọkpa,trap
ọkpa-ekutele,rattrap
ọkpanran,priest
ọkpaghoro,marine catfish arius spp
ọkpẹ,gratitude
ọkpẹja,fisherman
ọkpọ,namesake
ọkpọghọrọ,indian bamboo
ọkpọkunma,none
peer ,peer
me riọgba mi,i do not see my peer
ọgbali,sweeper
ọgban,thirty
ọgban-le-ọru,hundred and thirty
ọgbaara,justice
ọgbaregin,cudgel
ọgbaghoro,fish polypterus senegalus
ọgbẹn,farmer
ọgbẹrubiba,coward
ọgbiwẹn-ọrigho,tax collector
ọgbọdọ,sword
ọgbọfọfọ,spokesman
ọgbọgba,equal
ọgbọn,native trumpet
ọgbọnrọn,musical instrument
ọgbọriọ,glutton
ọgbọriọ,gourmand
ọgbubi,midwife
ejika da ni mi origho patapata,the rain poured on me ceaselessly
patara,salt less
patara,without taste
patara,tasteless
o fẹn perepere ọnẹ orişẹ bawọ,he who is with god is pure
pẹlẹ,exchange of words
pẹtiẹn,complete demolition
ujo rẹn ee yọn  o ka şe pẹtu,the dance was not interesting but unattractive
pilopilo,thirsty for food
pilopilo,whet ones appetite
pini,patch
pipi,squeeze
pipi,compress
pitiyan,diminutive
o ka dẹn potopoto,very yellow or red
pọtọpọtọ,soft and tender
pọọnda,powder
pọtimato,portmanteau
pọsipọsi,abundant
ra puru ọjẹ we ke,go and cook the epuru food
puru aşọ ghan lẹfun,pack the clothes outside
mo fẹ ra ọsa,buy me an orange
ma biri emi fọ ọfọ raara,do not speak nonsense with me
ma ragha ogho rẹ,do not waste your money
ragha ẹsete gbẹ mi,rinse the plate for me
mo biẹ ran utukpa,please light up the lamp
mo ran wun uşẹ,i sent him on an errand
ranju,skulk
ranran ikaka we gbẹ mi,roast the bong a for me
rankpan,unkempt
re,go
regima,conspiracy
rentin me gbọ,please listen to me
ọkpa rẹn rese,the trap failed to catch
rẹ meejẹ,saw it in two piece
ma rẹ aṣọ mi,do not wet my cloth
rẹghẹ,dissolve
rẹghẹ,melt
rẹjẹ,smooth
rẹni,move on
rẹnji,gnash
rẹrẹ-eju,eye catching
mo riaşọ mi to nọ rẹn rẹn,i found my clothes that was missing
ri-ara,detest
ri-ara,dislike intensely
righi,tickle
ọbẹ we mu rian rian,high pitched or a very sharp voice
rieju,prophesy
ọkọ rin ni odo,the boat capsized in the sea
wo rin ju,you laugh too much
riọna,prophesy
riọna,foretell
riọna,predict the future
rire,good
rire,safe
nikọ wo ro sin?,what are you thinking
ro aşọ rẹ,put on your clothes
orugbo ka roju,bitter leaf is very bitter
ambivalent ,ambivalent
ogho ta gba ra run ro wun eju,he has ambivalent attitude towards spending his money
mo fẹ di omi we rogun di me si kpan,i want the water to settle before i draw it
aghan o mẹtie jẹ ẹyẹ rogun,children allow peace reign
romeji-meji,doubt
iwe roro,reading is difficult
rose,false
rosin,plot against
rosin,suspect
rowun,belongs to him her
di a ka rọọ omatie di e si mọ akamu,the child is always compelled to take pap
rọ,read
rọrọ,to slowly push down
rọbi,woman in labour
rọbi,parturition
rọgbẹ,exchange
ru,open
rudurudu,disorder
rueju,frown
ma run urun timo ya we,do not wipe what i have written
e rubo şe uwọ,why not you
ẹbe ruku omi we dedẹ,the shine nose has stirred up the whole water
mo sa aşọ ni orunrun,i have put out my clothes in the sun to dry
a wa di a sa ogure,come let us run
ma saba ẹsẹn obirẹn ayọlọkọ,do not step across the legs of a married woman
sabaşi,passover
sagbayagba,firebrigade type of movement
sagure,race
sambolo,can a indica
sambolo,canailly
san ẹbọ,tie the bag
san iwẹn mi,pay me what you owe me
oloşowo we sanju o,that trader was too strict
ekpe tiwo şi sannọ,revoke the curse
inọ ro sanmi sanmi,i hate him
sanọrọn-neju,audacity
sayogun,type of dance from oma-abala
sayogun,orugbo
se ọjẹ,cook the food
gho bo te sebu şişi one ti ẹmọ kpa,see him stumbling like he is drunk
se-ekpomọ,be careful
se-idẹn,humiliate
wada sere utẹn,let us pick some cherry
sẹ,deny
sẹn,serve
sẹn,worship
sẹnbọ,sacrifice
sẹngua,beautiful
sẹnji,awake from sleep
sẹnji-gbelele,wake up suddenly from sleep
sigidi,an innovative dance
sigọọ,reluctant
sigọsigọ,reluctantly
respond ,respond
wo ka siin ọfọ ju,you responded too much
ubo dede ka şe siiri,everywhere was calm
wa di emi sin ẹ,let me accompany you
noun,how much was the interest
muster,muster energy
ẹnẹ ka sinarakin gba biri aghan ja,we mustered our energy to fight them
sisẹngua,attractive
simi,withdraw
sisin,length
mo gba fiinipọni o ka sikan,he was thrilledwhen i hailed him iponi
sisan mi wi ọgua,my progress will come
so,tie
sogure,run
soku,suicide
soro,stand
sorogidigba,steadfast
sokpa,shun
sọ,throw
sọlọ ejọ,to pick one teeth
sọọ,impale ṣọp akasi
probe ,probe
iratia sọghọlọ wun arun ee wa je fọ,unless he properly probed he won say anything
sọegbekẹ,shrug
sọkun,cry
sọkun,weep
sọle,drag
sọle,push upwards
sọrigho,nod
sọşi,draw or push downwards
sọni,grip
sọmbọyi,shop boy
roast,roast
mo fẹ sọọn imiyo,i want to roast corn
sọn,cry
su,hue
suẹro,boast
sudoloki,somersault
sunma,ponder
sunma,meditate
suomulomu,meddlesome
suọwẹlẹ,quarrel
sun,sleep
ekpo suun ni ololo,the oil is congealed in the bottle
sugba,confine
sugba,engulf
sungbaro,meditate
sting,sting
ẹyo ta mi ni oko,the tailor-ant stung me
verb,sell
wo ta usin?,do you sell starch
verb,hush
ta! kpabu arun,keep quiet
verb,flick
wo ta şişi ide,flick like a lobster or crayfish
tabi,isn it
o tafu wun ẹwọ,it slipped off his hand
tabu,soak
tadin,prevent
tadin,blockage interrupt
taghala,scatter
taghan,theirs
talẹbalẹwa,origin
talẹbalẹwa,beginning
tama,stick
tan,finish
tanigọọfu,telephone
tapelepele,restive
tara,pride
tarabaya,panicky
tarunbọ,scream
tarunbọ,alarm
tarunbọ,clamour
tatasian,surprise beyond expectation
tebetebe,waterlily
tẹbọ,preserve
teghere,isolate
teghere,conspicuously displayed
temi,mine
teri,because
tete,make haste
tẹ,step on
tẹẹ,fade
tẹbitẹ,everlasting
tẹghẹlẹ,tickle
tẹmalẹ,crush
tẹmalẹ,trample
tẹnẹ,ours
tẹrẹ,yours
tẹrẹn,until
tẹriba,adore
tẹtẹ,trudge
ma gba mi tẹghọ,do not use me as a decoy
tijẹn,decoy
tijoro,scissors
tin,push
bet,bet
wa da tin ẹle,let us place a bet
tiin,dirty
small ,small
urun tie,small thing
tikpekpe,instigate
tietie,bits
mo biẹ wo ka tigbin mi,please remind me
mе sitigbi,i cannot remember
tighitighi,bush ticket
tin-etinnomi,unconcerned
tikẹnrẹn-araro,him her very self
tinmali,imprisonment
titin,dirty
tisimi,disgusted
titọn,new
tireni,tray
tinọ,pull away
tinmi-ẹyin,assist
me wa nеmi to ubo rẹ,i can not reach your place
e mi ma to okun we o wa sin ni,when i join the rope it will be longer
o to rẹn,it is enough
tobele,tumbler
tobele,glass
tolo,slight touch
tolomeju,peep glance
tolotolo,turkey
toni,add
toni,aggravate
tonitoni,piecemeal
toro,his
toro,her
toroni,contribute
tooro,narrow
torosi,trust credit system
di o ka se urun ro dede tototo,he does his things assiduously
toyìn-toyin,dropping in trickles
tọ,lasting
tọbu,sound of an object dropped into water
tọlọ alẹ jẹ,pick things from the ground
tọọn,straight road or line
tọrutọ,detail
tu,naked
tu,
tuedọn,persevere
tubutubu,hopping and dancing like a bird
tufie,spitting like act in response to an unfavourable remarks
tuku-tuye,do or die
ẹnẹ guo ilọliaghan tughutughu,we destroyed their houses completely
omi we tun o,the water is cold
ekeregbe ren tun şialẹ,the goat is on the ground lifeless
mo fẹ mo omi tutun,i want to drink cold water
uuu! jẹdi agbọrọn,hooting someone to be quiet
uba,camp
uba,hamlet
ubaguẹ,lavatory particularly for female
ubara,concerning
ubara,about
ubeje,pilot fish
ubẹ,prayers
ubẹlẹ arun ma bọghọ kuro e ju sere,harsh words spoken can not be recalled
ubẹru,fear
ubẹru,fright
ubi,evil
ubirọ,question
ubo,place
ubodiọn,ill health
ubodiọn,sickness
ubodubo,secretely
ubogun,kitchen
ubogun,fire place
ubokubo,everywhere
ubo-ọgua,apron
ubowe,this place
ubowe,here
ubuara,four yards of sewn wrapper for women
ubugbẹ,shovel
ubudọn,animal
ubuşẹ-ẹsi,judiciary
uda,cutlass
udalọ,sword like plant that is medicinal
uku udamudi,he died in an accident
udaju,impertinence or insult
udangho,temptation
udarani,democracy
udayibo,cutlass
ude ololo we şe?,where is the cover to the bottle
udele,hammer headed shark
udero,meeting
udẹ,basin
udẹfi,across
udẹji,god
udẹji,creator
udẹmi,leave
udẹmi,off duty
udẹn,oil from kernel used as body cream
udẹ,local government
udimudi,bundle
udimudi,whole
udin,hawk
udin-ẹyẹn,palm bunch
udo,position
udoli,household utensils
udo-ẹye,status in life
udo-ẹye,style of living
udo-ọghọ,humility
udọnju,envy
udo-roli,wellbeing
ududa,shuttle for weaving fishing nets
udumunẹ,hustle
udumunẹ,struggle
udun,heart
uduro,stand
ufan jijẹ,to take bribe
ufan we ee te ku,the circumcision is not healed
ufaghọ,act of shedding skin esp snake
olu-egin re ufẹ,the oluegin tree has shed its leaves
ufẹkẹ,pumpkin
ufo,tree
ufọsin,protest
ugala,congregation
ugala,gathering
ugan,clitoris
ugangan,spear with multiple points
uge,festivity
uge-isabaşi,passover
ugo,a type of precious bead
ugogo,anus
ugomugo,ostrich
ugọ,cardinal points
ugua,travel
mo ma uguẹ,i can swim
uguara,weary
uguẹfẹn,purification
ugunọjẹjẹ,fork
ugunrọ,neck
ugunrọ,as in body part
ugurunjẹ,pestle
ugunyan,wooden mortar
uguọkọ,paddle
uja,fight
uja-ere,wrestle
ujo rẹn yọn gidigbo,the dance was very entertaining
ujọ nikọ wo gha sin?,which group or society do you belong
ujo-roli,wind up
ujọ-ọsa,pulling against tide
ujọnghọnri,grief
kpo oko kpa-uju,wondering in wilderness
uju-afẹrẹ,fan
ujubọghọ,curve
ujubọghọ,bend
ujuya,incense
uka,numerals
ukamuka,interfering
ukalẹ,habitation
ukan,cane
ukarighọ,head count
ukarighọ,census
ukanrigho,competition
ukawa,decorated calabash for display during a dance
uke,bangle
ukere,to twist an opponent leg during fight
ukiki-ẹsẹn,step
jẹ diọkpa we wi ukin tie,let the trap be in the slightest degree or unit
ukiri,curtain
ukighi,shield
uko,cup
ukoko,lump
ukokolu,container for keeping caught fresh fishes
ukolu,kitchen
ukolu-ọba,palace kitchen
ukolusin,a standard measure of starch
ukọnju,askance
ẹdẹma we re se ukọ timo nẹ ni ubo uşẹ mi ,the man is a cog in the wheel of my progress at work
a nẹ ukọ ra kpe itetsọma,a messenger was sent to itetsọma
ukọ-umalẹ,juju priest
ukọbu,comma
ukọbu,a punctuation mark
ukọbu,
ukọli,willow pine
ukọmukọ,first
ukọ-orisẹ,prophet of god
ukọnrọnju,stare e g ukọnrọnju egbele ee kpa ẹwo
ukọnju,pity
ukọnju,sympathy
ukonju,squint
ukpe,calling
uku,death
ukuekun,mysterious death
ukuẹkẹ,display of wealth at last burial rites
ukuẹki,someone cast with a spell
ukuẹmi,rest
ukuẹmi,peace
ukuẹyin,last
ukuẹyin,lastly
ukuẹyanni,brassier
